"Number","SpeciesName","VenacularName","TaxonName","TaxonAuthor","TaxonType"
"1669","Corydalis cava (L.) Schweigg. & Koerte","Hohler Lerchensporn","Corydalis cava","(L.) Schweigg. & Koerte","plant"
"1671","Corydalis intermedia (L.) Mérat","Mittlerer Lerchensporn","Corydalis intermedia","(L.) Mérat","plant"
"1674","Corydalis pumila (Host) Rchb.","Zwerg-Lerchensporn","Corydalis pumila","(Host) Rchb.","plant"
"1675","Corydalis solida (L.) Clairv.","Gefingerter Lerchensporn","Corydalis solida","(L.) Clairv.","plant"
"1676","Corylus avellana L.","Haselnuss","Corylus avellana","L.","plant"
"1679","Corynephorus canescens (L.) P. Beauv.","Silbergras","Corynephorus canescens","(L.) P. Beauv.","plant"
"50349","Coscinodon cribrosus (Hedw.) Spruce","Siebzahnmoos","","","moss"
"1681","Cotinus coggygria Scop.","Perueckenstrauch","Cotinus coggygria","Scop.","plant"
"1683","Cotoneaster integerrimus Medik.","Felsen-Zwergmispel","Cotoneaster integerrimus","Medik.","plant"
"1687","Cotoneaster tomentosus Lindl.","Filzige Zwergmispel","Cotoneaster tomentosus","Lindl.","plant"
"1688","Cotula coronopifolia L.","Laugenblume","Cotula coronopifolia","L.","plant"
"1689","Crambe maritima L.","Meerkohl","Crambe maritima","L.","plant"
"1691","Crassula aquatica (L.) Schoenland","Wasser-Dickblatt","Crassula aquatica","(L.) Schoenland","plant"
"6731","Crassula helmsii (Kirk) Cockayne","Nadelkraut","Crassula helmsii","(Kirk) Cockayne","plant"
"1692","Crassula tillaea Lest.-Garl.","Moos-Dickblatt","Crassula tillaea","Lest.-Garl.","plant"
"1701","Crataegus laevigata (Poir.) DC. s. l.","Zweigriffliger Weissdorn","Crataegus laevigata","(Poir.) DC. s. l.","plant"
"1707","Crataegus monogyna Jacq. s. l.","Eingriffliger Weissdorn","Crataegus monogyna","Jacq. s. l.","plant"
"26677","Crataegus rhipidophylla Gand. s. l.","Grosskelchiger Weissdorn","Crataegus rhipidophylla","Gand. s. l.","plant"
"7325","Crataegus rhipidophylla var. lindmanii (Hrabetova) K. I. Chr.","Lindmans Weissdorn","Crataegus rhipidophylla var. lindmanii","(Hrabetova) K. I. Chr.","plant"
"7326","Crataegus rhipidophylla var. rhipidophylla Gand.","Gewoehnlicher Grosskelchiger Weissdorn","Crataegus rhipidophylla var. rhipidophylla","Gand.","plant"
"1705","Crataegus x macrocarpa Hegetschw.","Grossfruechtiger Weissdorn","Crataegus x macrocarpa","Hegetschw.","plant"
"50021","Crataegus x media Bechst.","Bastard-Weissdorn","Crataegus x media","Bechst.","plant"
"50350","Cratoneuron filicinum (Hedw.) Spruce","","","","moss"
"50351","Cratoneuron filicinum (Hedw.) Spruce var. filicinum","","","","moss"
"50352","Cratoneuron filicinum var. atrovirens (Brid.) Ochyra","","","","moss"
"1712","Crepis alpestris (Jacq.) Tausch","Alpen-Pippau","Crepis alpestris","(Jacq.) Tausch","plant"
"1713","Crepis aurea (L.) Cass.","Gold-Pippau","Crepis aurea","(L.) Cass.","plant"
"1714","Crepis biennis L.","Wiesen-Pippau","Crepis biennis","L.","plant"
"21408","Crepis bocconi P. D. Sell","Berg-Pippau","Crepis bocconi","P. D. Sell","plant"
"1716","Crepis capillaris (L.) Wallr.","Kleinkoepfiger Pippau","Crepis capillaris","(L.) Wallr.","plant"
"1718","Crepis conyzifolia (Gouan) Kern.","Grosskoepfiger Pippau","Crepis conyzifolia","(Gouan) Kern.","plant"
"1720","Crepis foetida L.","Stinkender Pippau","Crepis foetida","L.","plant"
"21412","Crepis jacquinii subsp. kerneri (Rech.f.) Merxmueller","Kerners Felsen-Pippau","Crepis jacquinii subsp. kerneri","(Rech.f.) Merxmueller","plant"
"26581","Crepis jacquinii Tausch s. l.","Felsen-Pippau","Crepis jacquinii","Tausch s. l.","plant"
"1728","Crepis mollis (Jacq.) Asch.","Weichhaariger Pippau","Crepis mollis","(Jacq.) Asch.","plant"
"1731","Crepis paludosa (L.) Moench","Sumpf-Pippau","Crepis paludosa","(L.) Moench","plant"
"1736","Crepis praemorsa (L.) Walther","Abgebissener Pippau","Crepis praemorsa","(L.) Walther","plant"
"6462","Crepis pulchra L.","Schoener Pippau","Crepis pulchra","L.","plant"
"1739","Crepis pyrenaica (L.) Greuter","Schabenkraut-Pippau","Crepis pyrenaica","(L.) Greuter","plant"
"1745","Crepis setosa Haller f.","Borsten-Pippau","Crepis setosa","Haller f.","plant"
"1748","Crepis tectorum L.","Dach-Pippau","Crepis tectorum","L.","plant"
"1749","Crepis terglouensis (Hacq.) Kern.","Triglav-Pippau","Crepis terglouensis","(Hacq.) Kern.","plant"
"21418","Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell.","Loewenzahnblaettriger Pippau","Crepis vesicaria subsp. taraxacifolia","(Thuill.) Thell.","plant"
"26500","Crocus vernus (L.) Hill","Fruehlings-Krokus","Crocus vernus","(L.) Hill","plant"
"21426","Crocus vernus subsp. albiflorus (Kit.) Asch. & Graebn.","Weisser Safran","Crocus vernus subsp. albiflorus","(Kit.) Asch. & Graebn.","plant"
"29438","Crocus vernus subsp. vernus (L.) Hill","Fruehlings-Safran","Crocus vernus subsp. vernus","(L.) Hill","plant"
"50353","Crossidium squamiferum (Viv.) Jur.","Fransenmoos","","","moss"
"50354","Crossidium squamiferum (Viv.) Jur. var. squamiferum","","","","moss"
"1765","Cruciata glabra (L.) Ehrend.","Kahles Kreuzlabkraut","Cruciata glabra","(L.) Ehrend.","plant"
"1766","Cruciata laevipes Opiz","Gewoehnliches Kreuzlabkraut","Cruciata laevipes","Opiz","plant"
"50355","Cryphaea heteromalla (Hedw.) D. Mohr","","","","moss"
"1770","Cryptogramma crispa (L.) R. Br. ex Hook.","Krauser Rollfarn","Cryptogramma crispa","(L.) R. Br. ex Hook.","plant"
"50356","Ctenidium molluscum (Hedw.) Mitt.","Kamm-Moos","","","moss"
"1771","Cucubalus baccifer L.","Taubenkropf","Cucubalus baccifer","L.","plant"
"1776","Cuscuta campestris Yunck.","Nordamerikanische Seide","Cuscuta campestris","Yunck.","plant"
"1778","Cuscuta epilinum Weihe","Flachs-Seide","Cuscuta epilinum","Weihe","plant"
"1781","Cuscuta epithymum (L.) L.","Quendel-Seide","Cuscuta epithymum","(L.) L.","plant"
"1786","Cuscuta europaea L.","Nessel-Seide","Cuscuta europaea","L.","plant"
"1787","Cuscuta gronovii Willd. ex Roem. & Schult.","Gronovius Seide","Cuscuta gronovii","Willd. ex Roem. & Schult.","plant"
"1788","Cuscuta lupuliformis Krock.","Pappel-Seide","Cuscuta lupuliformis","Krock.","plant"
"29401","Cuscuta scandens Brot.","Suedliche Seide","Cuscuta scandens","Brot.","plant"
"29402","Cuscuta scandens subsp. cesatiana (Bertol.) Greuter & Burdet","Knoeterich-Seide","Cuscuta scandens subsp. cesatiana","(Bertol.) Greuter & Burdet","plant"
"1791","Cyclamen purpurascens Mill.","Wildes Alpenveilchen","Cyclamen purpurascens","Mill.","plant"
"1795","Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.","Zymbelkraut","Cymbalaria muralis","P. Gaertn., B. Mey. & Scherb.","plant"
"1800","Cynodon dactylon (L.) Pers.","Hundszahngras","Cynodon dactylon","(L.) Pers.","plant"
"50357","Cynodontium bruntonii (Sm.) Bruch & Schimp.","","","","moss"
"50358","Cynodontium jenneri (Schimp.) Stirt.","","","","moss"
"50359","Cynodontium polycarpum (Hedw.) Schimp.","Hundszahnmoos","","","moss"
"50360","Cynodontium strumiferum (Hedw.) Schimp.","","","","moss"
"1803","Cynoglossum germanicum Jacq.","Deutsche Hundszunge","Cynoglossum germanicum","Jacq.","plant"
"1805","Cynoglossum officinale L.","Gewoehnliche Hundszunge","Cynoglossum officinale","L.","plant"
"1806","Cynosurus cristatus L.","Wiesen-Kammgras","Cynosurus cristatus","L.","plant"
"26584","Cyperus esculentus L.","Erdmandel","Cyperus esculentus","L.","plant"
"1811","Cyperus flavescens L.","Gelbliches Zypergras","Cyperus flavescens","L.","plant"
"1812","Cyperus fuscus L.","Braunes Zypergras","Cyperus fuscus","L.","plant"
"20012","Cyperus longus L. s. l.","Hohes Zypergras","Cyperus longus","L. s. l.","plant"
"20013","Cyperus longus subsp. badius (Desf.) Murb.","Kastanienbraunes Zypergras","Cyperus longus subsp. badius","(Desf.) Murb.","plant"
"21472","Cyperus longus subsp. longus L.","Hohes Zypergras i. e. S.","Cyperus longus subsp. longus","L.","plant"
"1819","Cyperus michelianus (L.) Link","Zwerg-Zypergras","Cyperus michelianus","(L.) Link","plant"
"1824","Cypripedium calceolus L.","Frauenschuh","Cypripedium calceolus","L.","plant"
"21473","Cystopteris alpina (Lam.) Desv.","Alpen-Blasenfarn","Cystopteris alpina","(Lam.) Desv.","plant"
"1826","Cystopteris dickieana R. Sim","Runzelsporiger Blasenfarn","Cystopteris dickieana","R. Sim","plant"
"1827","Cystopteris fragilis (L.) Bernh. s. str.","Zerbrechlicher Blasenfarn","Cystopteris fragilis","(L.) Bernh. s. str.","plant"
"1829","Cystopteris montana (Lam.) Desv.","Berg-Blasenfarn","Cystopteris montana","(Lam.) Desv.","plant"
"1830","Cystopteris sudetica A. Braun ex Milde","Sudeten-Blasenfarn","Cystopteris sudetica","A. Braun ex Milde","plant"
"21483","Cytisus nigricans L.","Schwarzwerdender Geissklee","Cytisus nigricans","L.","plant"
"1837","Cytisus scoparius (L.) Link","Besenginster","Cytisus scoparius","(L.) Link","plant"
"6748","Cytisus striatus (Hill) Rothm.","Gestreifter Ginster","Cytisus striatus","(Hill) Rothm.","plant"
"1842","Dactylis glomerata agg.","Artengruppe Knaeuelgras","Dactylis glomerata agg.","","plant"
"1843","Dactylis glomerata L. s. str.","Wiesen-Knaeuelgras","Dactylis glomerata","L. s. str.","plant"
"1846","Dactylis polygama Horv.","Wald-Knaeuelgras","Dactylis polygama","Horv.","plant"
"1848","Dactylorhiza cruenta (O. F. Mueller) Soó","Blutrotes Knabenkraut","Dactylorhiza cruenta","(O. F. Mueller) Soó","plant"
"13784","Dactylorhiza curvifolia (Nyl.) Czerep.","Ostsee-Knabenkraut","Dactylorhiza curvifolia","(Nyl.) Czerep.","plant"
"1849","Dactylorhiza incarnata (L.) Soó","Fleischfarbenes Knabenkraut","Dactylorhiza incarnata","(L.) Soó","plant"
"1851","Dactylorhiza incarnata subsp. ochroleuca (Boll) P. F. Hunt & Summerh.","Bleichgelbes Knabenkraut","Dactylorhiza incarnata subsp. ochroleuca","(Boll) P. F. Hunt & Summerh.","plant"
"7163","Dactylorhiza lapponica (Hartm.) Soó","Lapplaendisches Knabenkraut","Dactylorhiza lapponica","(Hartm.) Soó","plant"
"1852","Dactylorhiza maculata agg.","Artengruppe Geflecktes Knabenkraut","Dactylorhiza maculata agg.","","plant"
"1862","Dactylorhiza majalis (Rchb.) Hunt & Summerh. s. str.","Breitblaettriges Knabenkraut","Dactylorhiza majalis","(Rchb.) Hunt & Summerh. s. str.","plant"
"1867","Dactylorhiza praetermissa (Druce) Soó","Uebersehenes Knabenkraut","Dactylorhiza praetermissa","(Druce) Soó","plant"
"1872","Dactylorhiza sambucina (L.) Soó","Holunder-Knabenkraut","Dactylorhiza sambucina","(L.) Soó","plant"
"1870","Dactylorhiza sphagnicola (Hoeppner) Soó","Torfmoos-Knabenkraut","Dactylorhiza sphagnicola","(Hoeppner) Soó","plant"
