plantNameLatin;plantNameAuthor;plantType;plantTaxonName;plantNameGerman
Alchemilla undulata;Buser;plant;Alchemilla undulata Buser;Welliger Frauenmantel
Alchemilla versipila;Buser;plant;Alchemilla versipila Buser;Wechselhaariger Frauenmantel
Alchemilla vulgaris agg.;;plant;Alchemilla vulgaris agg. ;Gewöhnlicher Frauenmantel
Alchemilla vulgaris;L.;plant;Alchemilla vulgaris L.;Spitzlappiger Frauenmantel
Alchemilla xanthochlora;Rothm.;plant;Alchemilla xanthochlora Rothm.;Gelbgrüner Frauenmantel
Alchemilla;;plant;Alchemilla sp.;Frauenmantel
Aldrovanda vesiculosa;L.;plant;Aldrovanda vesiculosa L.;Wasserfalle
Alisma gramineum;Lej.;plant;Alisma gramineum Lej.;Grasblättriger Froschlöffel
Alisma lanceolatum;With.;plant;Alisma lanceolatum With.;Lanzettblättriger Froschlöffel
Alisma plantago-aquatica;L. s. str.;plant;Alisma plantago-aquatica L. s. str.;Gewöhnlicher Froschlöffel
Alisma;;plant;Alisma sp.;Froschlöffel
Alliaria petiolata;(M. Bieb.) Cavara & Grande;plant;Alliaria petiolata (M. Bieb.) Cavara & Grande;Knoblauchsrauke
Allium angulosum;L.;plant;Allium angulosum L.;Kantiger Lauch
Allium atropurpureum;Waldst. & Kit.;plant;Allium atropurpureum Waldst. & Kit.;Schwarzroter Lauch
Allium carinatum;L. s. l.;plant;Allium carinatum L. s. l.;Gekielter Lauch
Allium carinatum subsp. carinatum;L.;plant;Allium carinatum subsp. carinatum L.;Gekielter Lauch i.e.S.
Allium carinatum subsp. pulchellum;Bonnier & Layens;plant;Allium carinatum subsp. pulchellum Bonnier & Layens;Schöner Lauch
Allium oleraceum;L.;plant;Allium oleraceum L.;Gemüse-Lauch
Allium oleraceum;L.;plant;Allium oleraceum L.;Gemüselauch
Allium paradoxum;(M. Bieb.) G. Don;plant;Allium paradoxum (M. Bieb.) G. Don;Wunder-Lauch
Allium schoenoprasum;L.;plant;Allium schoenoprasum L.;Schnitt-Lauch
Allium schoenoprasum;L.;plant;Allium schoenoprasum L.;Schnittlauch
Allium scorodoprasum subsp. rotundum;(L.) Stearn;plant;Allium scorodoprasum subsp. rotundum (L.) Stearn;Runder Lauch
Allium scorodoprasum subsp. scorodoprasum;L.;plant;Allium scorodoprasum subsp. scorodoprasum L.;Schlangen-Lauch
Allium scorodoprasum subsp. scorodoprasum;L.;plant;Allium scorodoprasum subsp. scorodoprasum L.;Schlangenlauch
Allium senescens;L.;plant;Allium senescens L. s. l.;Berg-Lauch
Allium senescens;L.;plant;Allium senescens L. s. l.;Berglauch
Allium senescens subsp. montanum;(Fr.) Holub;plant;Allium senescens subsp. montanum (Fr.) Holub;Berg-Lauch
