plantNameLatin;plantNameAuthor;plantType;plantTaxonName;plantNameGerman
Solanum villosum subsp. villosum;Mill.;plant;Solanum villosum subsp. villosum Mill.;Gelbfrüchtiger Nachtschatten
Solanum;;plant;Solanum sp.;Nachtschatten
Solanum tuberosum;L.;plant;Solanum tuberosum L.;Kartoffel
Soldanella alpicola;F. K. Mey.;plant;Soldanella alpicola F. K. Mey.;Zwerg-Alpenglöckchen
Soldanella alpina;L.;plant;Soldanella alpina L.;Gewöhnliches Alpenglöckchen
Soldanella austriaca;Vierh.;plant;Soldanella austriaca Vierh.;Österreichisches Alpenglöckchen
Soldanella minima;Hoppe s. str.;plant;Soldanella minima Hoppe s. str.;Winziges Alpenglöckchen
Soldanella montana;Willd.;plant;Soldanella montana Willd.;Berg-Alpenglöckchen
Soldanella;;plant;Soldanella sp.;Alpenglöckchen
Solidago canadensis;L.;plant;Solidago canadensis L.;Kanadische Goldrute
Solidago gigantea;Aiton;plant;Solidago gigantea Aiton;Späte Goldrute
Solidago graminifolia;(L.) Salisb.;plant;Solidago graminifolia (L.) Salisb.;Grasblättrige Goldrute
Solidago virgaurea;L.;plant;Solidago virgaurea L.;Gewöhnliche Goldrute
Solidago virgaurea subsp. minuta;(L.) Arcang.;plant;Solidago virgaurea subsp. minuta (L.) Arcang.;Alpen-Goldrute
Solidago virgaurea subsp. virgaurea;L.;plant;Solidago virgaurea subsp. virgaurea L.;Gewöhnliche Goldrute
Solidago;;plant;Solidago sp.;Goldrute
Sonchus arvensis;L.;plant;Sonchus arvensis L.;Acker-Gänsedistel
Sonchus arvensis;L.;plant;Sonchus arvensis L.;Ackergänsedistel
Sonchus arvensis subsp. arvensis;L.;plant;Sonchus arvensis subsp. arvensis L.;Gewöhnliche Acker-Gänsedistel
Sonchus arvensis subsp. uliginosus;(M. Bieb.) Nyman;plant;Sonchus arvensis subsp. uliginosus (M. Bieb.) Nyman;Drüsenlose Acker-Gänsedistel
Sonchus asper;(L.) Hill;plant;Sonchus asper (L.) Hill;Raue Gänsedistel
Sonchus asper;(L.) Hill;plant;Sonchus asper (L.) Hill;Rauhe Gänsedistel
Sonchus oleraceus;L.;plant;Sonchus oleraceus L.;Kohl-Gänsedistel
Sonchus oleraceus;L.;plant;Sonchus oleraceus L.;Kohlgänsedistel
Sonchus palustris;L.;plant;Sonchus palustris L.;Sumpf-Gänsedistel
Sonchus;;plant;Sonchus sp.;Gänsedistel
Sorbus aria agg.;;plant;Sorbus aria agg. ;Gewöhnliche Mehlbeere
Sorbus aria agg.;;plant;Sorbus aria agg. ;Mehlbeere
Sorbus aria;(L.) Crantz s. str.;plant;Sorbus aria (L.) Crantz s. str.;Gewöhnliche Mehlbeere
Sorbus aucuparia;L.;plant;Sorbus aucuparia L.;Vogelbeere
Sorbus aucuparia subsp. aucuparia;L.;plant;Sorbus aucuparia subsp. aucuparia L.;Gewöhnliche Vogelbeere
Sorbus aucuparia subsp. glabrata;(Wimm. & Grab.) Caj.;plant;Sorbus aucuparia subsp. glabrata (Wimm. & Grab.) Caj.;Gebirgs-Vogelbeere
Sorbus badensis;Düll;plant;Sorbus badensis Düll;Badische Bastard-Mehlbeere
Sorbus chamaemespilus;(L.) Crantz;plant;Sorbus chamaemespilus (L.) Crantz;Zwerg-Mehlbeere
Sorbus danubialis;(Jáv.) Kárpáti;plant;Sorbus danubialis (Jáv.) Kárpáti;Donau-Mehlbeere
Sorbus decipiens;(Bechst.) Irmisch ex Petz. & Kirchn.;plant;Sorbus decipiens (Bechst.) Irmisch ex Petz. & Kirchn.;Täuschende Bastard-Mehlbeere
Sorbus domestica;L.;plant;Sorbus domestica L.;Speierling
Sorbus franconica;Bornm. ex Düll (Sorbus pannonica (?) x S. torminalis);plant;Sorbus franconica Bornm. ex Düll (Sorbus pannonica (?) x S. torminalis);Fränkische Bastard-Mehlbeere
Sorbus graeca;(Spach) Lodd. ex Schauer;plant;Sorbus graeca (Spach) Lodd. ex Schauer;Griechische Mehlbeere
Sorbus heilingensis;Düll (Sorbus aria s.l. x S. torminalis);plant;Sorbus heilingensis Düll (Sorbus aria s.l. x S. torminalis);Heilinger Bastard-Mehlbeere
Sorbus hybrida;L.;plant;Sorbus hybrida  L.
Sorbus intermedia;(Ehrh.) Pers.;plant;Sorbus intermedia (Ehrh.) Pers.;Schwedische Mehlbeere
Sorbus latifolia;(Lam.) Pers. s. str.;plant;Sorbus latifolia (Lam.) Pers. s. str.;Breitblättrige Bastard-Mehlbeere
Sorbus latifolia agg.;;plant;Sorbus latifolia agg. (Sorbus aria agg. l. x S. torminalis);Bastard-Mehlbeere
Sorbus mougeotii;Soy.-Will. & Godr.;plant;Sorbus mougeotii Soy.-Will. & Godr.;Vogesen-Mehlbeere
Sorbus multicrenata;Bornm. ex Düll (Sorbus aria s.l. x S. torminalis);plant;Sorbus multicrenata Bornm. ex Düll (Sorbus aria s.l. x S. torminalis);Vielkerbige Bastard-Mehlbeere
Sorbus pannonica;Kárpáti;plant;Sorbus pannonica Kárpáti;Pannonische Mehlbeere
Sorbus pseudothuringiaca;Düll;plant;Sorbus pseudothuringiaca Düll;Hersbrucker Vogelbeere
Sorbus subcordata;Bornm. ex Düll;plant;Sorbus subcordata Bornm. ex Düll;Arnstädtere Bastard-Mehlbeere
Sorbus torminalis;(L.) Crantz;plant;Sorbus torminalis (L.) Crantz;Elsbeere
Sorbus x acutisecta;Reuther & O. Schwarz;plant;Sorbus x acutisecta Reuther & O. Schwarz;Spitzwinklige Bastard-Mehlbeere
Sorbus x ambigua;Michalet;plant;Sorbus x ambigua Michalet;Filzige Zwerg-Mehlbeere
Sorbus x schinzii;Düll;plant;Sorbus x schinzii Düll;Schinz' Mehlbeere
Sorbus;;plant;Sorbus sp.;Mehlbeere
Sparganium angustifolium;Michx.;plant;Sparganium angustifolium Michx.;Schmalblättriger Igelkolben
Sparganium emersum;Rehmann;plant;Sparganium emersum Rehmann;Einfacher Igelkolben
Sparganium erectum;L. s. l.;plant;Sparganium erectum L. s. l.;Aufrechter Igelkolben
Sparganium erectum subsp. erectum;L.;plant;Sparganium erectum subsp. erectum L.;Gewöhnlicher Aufrechter Igelkolben
Sparganium erectum subsp. microcarpum;(Neuman) Domin;plant;Sparganium erectum subsp. microcarpum (Neuman) Domin;Kleinfrüchtiger Igelkolben
Sparganium erectum subsp. neglectum;(Beeby) K. Richt.;plant;Sparganium erectum subsp. neglectum (Beeby) K. Richt.;Unbeachteter Igelkolben
Sparganium natans;L.;plant;Sparganium natans L.;Zwerg-Igelkolben
Sparganium;;plant;Sparganium sp.;Igelkolben
Spartina anglica;C. E. Hubb.;plant;Spartina anglica C. E. Hubb.;Salz-Schlickgras
Spartina anglica;C. E. Hubb.;plant;Spartina anglica C. E. Hubb.;Schlickgras
Spergula arvensis;L.;plant;Spergula arvensis L.;Acker-Spark
Spergula arvensis;L.;plant;Spergula arvensis L.;Ackerspark
Spergula morisonii;Boreau;plant;Spergula morisonii Boreau;Frühlings-Spark
Spergula pentandra;L.;plant;Spergula pentandra L.;Fünfmänniger Spark
Spergula;;plant;Spergula sp.;Spark
Spergularia echinosperma;(Celak.) Asch. & Graebn.;plant;Spergularia echinosperma (Celak.) Asch. & Graebn.;Igelsamige Schuppenmiere
Spergularia media;(L.) C. Presl;plant;Spergularia media (L.) C. Presl;Flügelsamige Schuppenmiere
Spergularia rubra;(L.) J. Presl & C. Presl;plant;Spergularia rubra (L.) J. Presl & C. Presl;Rote Schuppenmiere
Spergularia salina;J. Presl & C. Presl;plant;Spergularia salina J. Presl & C. Presl;Salz-Schuppenmiere
Spergularia segetalis;(L.) G. Don;plant;Spergularia segetalis (L.) G. Don;Getreidemiere
Spergularia;;plant;Spergularia sp.;Schuppenmiere
Spiraea alba;Du Roi;plant;Spiraea alba Du Roi;Weißer Spierstrauch
Spiraea billardii;Hérincq;plant;Spiraea billardii Hérincq;Billards Spierstrauch
Spiraea tomentosa;L.;plant;Spiraea tomentosa L.;Filziger Spierstrauch
Spiraea;;plant;Spiraea sp.;Spierstrauch
Spiraea;;plant;Spiraea sp.;Spiere
Spiranthes aestivalis;(Poir.) Rich.;plant;Spiranthes aestivalis (Poir.) Rich.;Sommer-Wendelähre
Spiranthes aestivalis;(Poir.) Rich.;plant;Spiranthes aestivalis (Poir.) Rich.;Sommer-Drehwurz
Spiranthes spiralis;(L.) Chevall.;plant;Spiranthes spiralis (L.) Chevall.;Herbst-Wendelähre
Spiranthes spiralis;(L.) Chevall.;plant;Spiranthes spiralis (L.) Chevall.;Herbst-Drehwurz
Spiranthes;;plant;Spiranthes sp.;Wendelähre
Spiranthes;;plant;Spiranthes sp.;Drehwurz
Spirodela polyrhiza;(L.) Schleid.;plant;Spirodela polyrhiza (L.) Schleid.;Vielwurzelige Teichlinse
Spirodela polyrhiza;(L.) Schleid.;plant;Spirodela polyrhiza (L.) Schleid.;Teichlinse
Sporobolus cryptandrus;(Torr.) A. Gray;plant;Sporobolus cryptandrus (Torr.) A. Gray;Verstecktblütiges Fallsamengras
Stachys alpina;L.;plant;Stachys alpina L.;Alpen-Ziest
Stachys alpina;L.;plant;Stachys alpina L.;Alpenziest
Stachys annua;(L.) L.;plant;Stachys annua (L.) L.;Einjähriger Ziest
Stachys arvensis;(L.) L.;plant;Stachys arvensis (L.) L.;Acker-Ziest
Stachys arvensis;(L.) L.;plant;Stachys arvensis (L.) L.;Ackerziest
Stachys germanica;L.;plant;Stachys germanica L.;Deutscher Ziest
Stachys palustris;L.;plant;Stachys palustris L.;Sumpf-Ziest
Stachys palustris;L.;plant;Stachys palustris L.;Sumpfziest
Stachys recta;L.;plant;Stachys recta L.;Aufrechter Ziest
Stachys sylvatica;L.;plant;Stachys sylvatica L.;Wald-Ziest
Stachys sylvatica;L.;plant;Stachys sylvatica L.;Waldziest
Stachys;;plant;Stachys sp.;Ziest
Staphylea pinnata;L.;plant;Staphylea pinnata L.;Pimpernuss
Stellaria alsine;Grimm;plant;Stellaria alsine Grimm;Bach-Sternmiere
Stellaria aquatica;(L.) Scop.;plant;Stellaria aquatica (L.) Scop.;Wasserdarm
Stellaria crassifolia;Ehrh.;plant;Stellaria crassifolia Ehrh.;Dickblättrige Sternmiere
Stellaria graminea;L.;plant;Stellaria graminea L.;Gras-Sternmiere
Stellaria graminea;L.;plant;Stellaria graminea L.;Grassternmiere
Stellaria holostea;L.;plant;Stellaria holostea L.;Große Sternmiere
Stellaria longifolia;H. L. Mühl. ex Willd.;plant;Stellaria longifolia H. L. Mühl. ex Willd.;Langblättrige Sternmiere
Stellaria media agg.;;plant;Stellaria media agg. ;Vogelmiere
Stellaria neglecta;Weihe;plant;Stellaria neglecta Weihe;Großblütige Vogelmiere
Stellaria nemorum;L. s. l.;plant;Stellaria nemorum L. s. l.;Hain-Sternmiere
Stellaria nemorum;L. s. l.;plant;Stellaria nemorum L. s. l.;Hainsternmiere
Stellaria nemorum subsp. montana;(Pierrat) Berher;plant;Stellaria nemorum subsp. montana (Pierrat) Berher;Berg-Hainsternmiere
Stellaria nemorum subsp. nemorum;L.;plant;Stellaria nemorum subsp. nemorum L.;Gewöhnliche Hain-Sternmiere
Stellaria pallida;(Dumort.) Crépin;plant;Stellaria pallida (Dumort.) Crépin;Bleiche Vogelmiere
Stellaria palustris;Ehrh. ex Hoffm.;plant;Stellaria palustris Ehrh. ex Hoffm.;Sumpf-Sternmiere
Stellaria;;plant;Stellaria sp.;Sternmiere
Stipa borysthenica;Klokov ex Prokudin;plant;Stipa borysthenica Klokov ex Prokudin;Sand-Federgras
Stipa borysthenica subsp. borysthenica;Klokov ex Prokudin;plant;Stipa borysthenica subsp. borysthenica Klokov ex Prokudin;Gewöhnliches Sand-Federgras
Stipa borysthenica subsp. germanica;(Endtm.) Martinovsky & Rauschert;plant;Stipa borysthenica subsp. germanica (Endtm.) Martinovsky & Rauschert;Deutsches Sand-Federgras
Stipa calamagrostis;(L.) Wahlenb.;plant;Stipa calamagrostis (L.) Wahlenb.;Alpen-Raugras
Stipa capillata;L.;plant;Stipa capillata L.;Haar-Pfriemengras
Stipa dasyphylla;(Cernjaev ex Lindem.) Trautv.;plant;Stipa dasyphylla (Cernjaev ex Lindem.) Trautv.;Weichhaariges Federgras
Stipa eriocaulis;Borbás;plant;Stipa eriocaulis Borbás;Zierliches Federgras
Stipa eriocaulis subsp. austriaca;(Beck) Martinovsky;plant;Stipa eriocaulis subsp. austriaca (Beck) Martinovsky;Österreichisches Zierliches Federgras
Stipa eriocaulis subsp. lutetiana;H. Scholz;plant;Stipa eriocaulis subsp. lutetiana H. Scholz;Südalpines Zierliches Federgras
Stipa pennata;L. s. str.;plant;Stipa pennata L. s. str.;Grauscheidiges Federgras
Stipa pulcherrima;K. Koch s. l.;plant;Stipa pulcherrima K. Koch s. l.;Gelbscheidiges Federgras
Stipa pulcherrima subsp. bavarica;(Martinovsky & H. Scholz) Conert;plant;Stipa pulcherrima subsp. bavarica (Martinovsky & H. Scholz) Conert;Bayerisches Gelbscheidiges Federgras
Stipa pulcherrima subsp. pulcherrima;K. Koch;plant;Stipa pulcherrima subsp. pulcherrima K. Koch;Gewöhnliches Gelbscheidiges Federgras
Stipa splendens;Trin.;plant;Stipa splendens Trin.;Glänzendes Raugras
Stipa tirsa;Steven;plant;Stipa tirsa Steven;Rossschweif-Federgras
Stipa;;plant;Stipa sp.;Federgras
Stratiotes aloides;L.;plant;Stratiotes aloides L.;Krebsschere
Streptopus amplexifolius;(L.) DC.;plant;Streptopus amplexifolius (L.) DC.;Stängelumfassender Knotenfuß
Suaeda maritima;(L.) Dumort.;plant;Suaeda maritima (L.) Dumort.;Strandsode
Subularia aquatica;L.;plant;Subularia aquatica L.;Pfriemenkresse
Succisa pratensis;Moench;plant;Succisa pratensis Moench;Gewöhnlicher Teufelsabbiss
Succisa pratensis;Moench;plant;Succisa pratensis Moench;Teufelsabbiss
Succisella inflexa;(Kluk) Beck;plant;Succisella inflexa (Kluk) Beck;Sumpfabbiss
Swertia perennis;L.;plant;Swertia perennis L.;Blauer Sumpfstern
Symphoricarpos albus;(L.) S. F. Blake;plant;Symphoricarpos albus (L.) S. F. Blake;Gewöhnliche Schneebeere
Symphoricarpos;;plant;Symphoricarpos sp.;Schneebeere
Symphytum bulbosum;Schimp.;plant;Symphytum bulbosum Schimp.;Knollen-Beinwell
Symphytum officinale;L. s. l.;plant;Symphytum officinale L. s. l.;Arznei-Beinwell
Symphytum tuberosum;L.;plant;Symphytum tuberosum L.;Knoten-Beinwell
Symphytum x uplandicum;Nyman;plant;Symphytum x uplandicum Nyman;Comfrey
Symphytum;;plant;Symphytum sp.;Beinwell
Syringa vulgaris;L.;plant;Syringa vulgaris L.;Gewöhnlicher Flieder
Syringa vulgaris;L.;plant;Syringa vulgaris L.;Flieder
Tamus communis;L.;plant;Tamus communis L.;Schmerwurz
Tanacetum corymbosum;(L.) Sch. Bip.;plant;Tanacetum corymbosum (L.) Sch. Bip.;Straußblütige Wucherblume
Tanacetum macrophyllum;(Waldst. & Kit.) Sch. Bip.;plant;Tanacetum macrophyllum (Waldst. & Kit.) Sch. Bip.;Großblättrige Wucherblume
Tanacetum partheniifolium;(Willd.) Sch. Bip.;plant;Tanacetum partheniifolium (Willd.) Sch. Bip.;Partheniumblättrige Wucherblume
Tanacetum parthenium;(L.) Sch. Bip.;plant;Tanacetum parthenium (L.) Sch. Bip.;Mutterkraut
Tanacetum vulgare;L.;plant;Tanacetum vulgare L.;Rainfarn
Taraxacum sect. Alpestria;Soest;plant;Taraxacum sect. Alpestria Soest;Gebirgs-Löwenzahn
Taraxacum sect. Alpina;G. E. Haglund;plant;Taraxacum sect. Alpina G. E. Haglund;Alpen-Löwenzahn
Taraxacum sect. Celtica;A. J. Richards;plant;Taraxacum sect. Celtica A. J. Richards;Moor-Löwenzahn
Taraxacum sect. Cucullata;Soest;plant;Taraxacum sect. Cucullata Soest;Strohblütige Löwenzahn
Taraxacum sect. Erythrosperma;(H. Lindb.) Dahlst.;plant;Taraxacum sect. Erythrosperma (H. Lindb.) Dahlst.;Schwielen-Löwenzahn
Taraxacum sect. Fontana;Soest;plant;Taraxacum sect. Fontana Soest;Quell-Löwenzahn
Taraxacum sect. Naevosa;M. P. Christ.;plant;Taraxacum sect. Naevosa M. P. Christ.;Flecken-Löwenzahn
Taraxacum sect. Obliqua;Dahlst.;plant;Taraxacum sect. Obliqua Dahlst.;Dünen-Löwenzahn
Taraxacum sect. Palustria;Dahlst.;plant;Taraxacum sect. Palustria Dahlst.;Sumpf-Löwenzahn
Taraxacum sect. Ruderalia;Kirschner, H. Ollg. & Stepanek;plant;Taraxacum sect. Ruderalia Kirschner, H. Ollg. & Stepanek;Wiesen-Löwenzahn
Taraxacum officinale agg.;;plant;Taraxacum officinale agg.;Löwenzahn
Taxus baccata;L.;plant;Taxus baccata L.;Eibe
Teesdalia nudicaulis;(L.) R. Br.;plant;Teesdalia nudicaulis (L.) R. Br.;Bauernsenf
Telekia speciosa;(Schreb.) Baumg.;plant;Telekia speciosa (Schreb.) Baumg.;Große Telekie
Telekia speciosa;(Schreb.) Baumg.;plant;Telekia speciosa (Schreb.) Baumg.;Telekie
Tephroseris crispa;(Jacq.) Rchb.;plant;Tephroseris crispa (Jacq.) Rchb.;Krauses Greiskraut
Tephroseris helenitis;(L.) B. Nord.;plant;Tephroseris helenitis (L.) B. Nord.;Spatelblättriges Greiskraut
Tephroseris helenitis subsp. helenitis;(L.) B. Nord.;plant;Tephroseris helenitis subsp. helenitis (L.) B. Nord.;Gewöhnliches Spatelblättriges Greiskraut
Tephroseris helenitis subsp. salisburgensis;(Cufod.) B. Nord.;plant;Tephroseris helenitis subsp. salisburgensis (Cufod.) B. Nord.;Salzburger Greiskraut
Tephroseris integrifolia;(L.) Holub;plant;Tephroseris integrifolia (L.) Holub;Steppen-Greiskraut
Tephroseris integrifolia subsp. integrifolia;(L.) Holub;plant;Tephroseris integrifolia subsp. integrifolia (L.) Holub;Gewöhnliches Steppen-Greiskraut
Tephroseris integrifolia subsp. vindelicorum;B. Krach;plant;Tephroseris integrifolia subsp. vindelicorum B. Krach;Augsburger Steppen-Greiskraut
Tephroseris palustris;(L.) Fourr.;plant;Tephroseris palustris (L.) Fourr.;Moor-Greiskraut
Tephroseris tenuifolia;(Gaudin) Holub;plant;Tephroseris tenuifolia (Gaudin) Holub;Schweizer Greiskraut
Tetragonolobus maritimus;(L.) Roth;plant;Tetragonolobus maritimus (L.) Roth;Gelbe Spargelerbse
Tetragonolobus maritimus;(L.) Roth;plant;Tetragonolobus maritimus (L.) Roth;Spargelerbse
Teucrium botrys;L.;plant;Teucrium botrys L.;Trauben-Gamander
Teucrium botrys;L.;plant;Teucrium botrys L.;Traubengamander
Teucrium chamaedrys;L.;plant;Teucrium chamaedrys L.;Edel-Gamander
Teucrium chamaedrys;L.;plant;Teucrium chamaedrys L.;Edelgamander
Teucrium chamaedrys subsp. chamaedrys;L.;plant;Teucrium chamaedrys subsp. chamaedrys L.;Gewöhnlicher Edel-Gamander
Teucrium chamaedrys subsp. germanicum;(F. Herm.) Rech.f.;plant;Teucrium chamaedrys subsp. germanicum (F. Herm.) Rech.f.;Fleischiger Edel-Gamander
Teucrium montanum;L.;plant;Teucrium montanum L.;Berg-Gamander
Teucrium montanum;L.;plant;Teucrium montanum L.;Berggamander
Teucrium scordium;L.;plant;Teucrium scordium L.;Knoblauch-Gamander
Teucrium scorodonia;L.;plant;Teucrium scorodonia L.;Salbei-Gamander
Teucrium scorodonia;L.;plant;Teucrium scorodonia L.;Salbeigamander
Teucrium;;plant;Teucrium sp.;Gamander
Thalictrum aquilegiifolium;L.;plant;Thalictrum aquilegiifolium L.;Akeleiblättrige Wiesenraute
Thalictrum flavum;L.;plant;Thalictrum flavum L.;Gelbe Wiesenraute
Thalictrum lucidum;L.;plant;Thalictrum lucidum L.;Glänzende Wiesenraute
Thalictrum minus;L.;plant;Thalictrum minus L.;Kleine Wiesenraute
Thalictrum minus subsp. majus;(Crantz) Hook.f.;plant;Thalictrum minus subsp. majus (Crantz) Hook.f.;Alpine Kleine Wiesenraute
Thalictrum minus subsp. minus;L.;plant;Thalictrum minus subsp. minus L.;Gewöhnliche Kleine Wiesenraute
Thalictrum minus subsp. saxatile;Ces.;plant;Thalictrum minus subsp. saxatile Ces.;Stein-Wiesenraute
Thalictrum morisonii;C. C. Gmel.;plant;Thalictrum morisonii C. C. Gmel.;Hohe Wiesenraute
Thalictrum simplex;L.;plant;Thalictrum simplex L.;Einfache Wiesenraute
Thalictrum simplex subsp. galioides;(DC.) Korsh.;plant;Thalictrum simplex subsp. galioides (DC.) Korsh.;Labkraut-Wiesenraute
Thalictrum simplex subsp. simplex;L.;plant;Thalictrum simplex subsp. simplex L.;Gewöhnliche Einfache Wiesenraute
Thalictrum;;plant;Thalictrum sp.;Wiesenraute
Thelypteris palustris;Schott;plant;Thelypteris palustris Schott;Sumpffarn
Thesium alpinum;L.;plant;Thesium alpinum L.;Alpen-Leinblatt
Thesium bavarum;Schrank;plant;Thesium bavarum Schrank;Bayrisches Leinblatt
Thesium ebracteatum;Hayne;plant;Thesium ebracteatum Hayne;Vorblattloses Leinblatt
Thesium linophyllon;L.;plant;Thesium linophyllon L.;Mittleres Leinblatt
Thesium pyrenaicum;Pourr.;plant;Thesium pyrenaicum Pourr.;Wiesen-Leinblatt
Thesium rostratum;Mert. & W. D. J. Koch;plant;Thesium rostratum Mert. & W. D. J. Koch;Schnabelfrüchtiges Leinblatt
Thesium;;plant;Thesium sp.;Leinblatt
Thlaspi alliaceum;L.;plant;Thlaspi alliaceum L.;Lauch-Hellerkraut
Thlaspi arvense;L.;plant;Thlaspi arvense L.;Acker-Hellerkraut
Thlaspi arvense;L.;plant;Thlaspi arvense L.;Ackerhellerkraut
Thlaspi caerulescens;J. Presl & C. Presl s. str.;plant;Thlaspi caerulescens J. Presl & C. Presl s. str.;Gebirgs-Hellerkraut
Thlaspi calaminare;(Lej.) Lej. & Courtois;plant;Thlaspi calaminare (Lej.) Lej. & Courtois;Galmei-Hellerkraut
Thlaspi cepaeifolium subsp. rotundifolium;(L.) Greuter & Burdet;plant;Thlaspi cepaeifolium subsp. rotundifolium (L.) Greuter & Burdet;Rundblättriges Hellerkraut
Thlaspi montanum;L.;plant;Thlaspi montanum L.;Berg-Hellerkraut
Thlaspi perfoliatum;L.;plant;Thlaspi perfoliatum L.;Stängelumfassendes Hellerkraut
Thlaspi;;plant;Thlaspi sp.;Hellerkraut
Thymelaea passerina;(L.) Coss. & Germ.;plant;Thymelaea passerina (L.) Coss. & Germ.;Spatzenzunge
Thymus praecox;Opiz s. l.;plant;Thymus praecox Opiz s. l.;Frühblühender Thymian
Thymus praecox subsp. polytrichus;(A. Kern. ex Borbás) Ronniger;plant;Thymus praecox subsp. polytrichus (A. Kern. ex Borbás) Ronniger;Alpen-Thymian
Thymus praecox subsp. praecox;Opiz;plant;Thymus praecox subsp. praecox Opiz;Gewöhnlicher Frühblühender Thymian
Thymus pulegioides;L. s. l.;plant;Thymus pulegioides L. s. l.;Arznei-Thymian
Thymus pulegioides;L. s. l.;plant;Thymus pulegioides L. s. l.;Arzneithymian
Thymus pulegioides subsp. carniolicus;(Borbás) P. A. Schmidt;plant;Thymus pulegioides subsp. carniolicus (Borbás) P. A. Schmidt;Behaarter Arznei-Thymian
Thymus pulegioides subsp. pulegioides;L.;plant;Thymus pulegioides subsp. pulegioides L.;Gewöhnlicher Arznei-Thymian
Thymus serpyllum;L.;plant;Thymus serpyllum L.;Sand-Thymian
Thymus serpyllum;L.;plant;Thymus serpyllum L.;Sandthymian
Thymus vulgaris;L.;plant;Thymus vulgaris L.;Gewürz-Thymian
Thymus;;plant;Thymus sp.;Thymian
Tilia cordata;Mill.;plant;Tilia cordata Mill.;Winter-Linde
Tilia cordata;Mill.;plant;Tilia cordata Mill.;Winterlinde
Tilia platyphyllos;Scop. , nom. cons. prop. (vide Pigott 1997: Taxon 46: 351-353);plant;Tilia platyphyllos Scop.;Sommer-Linde
Tilia platyphyllos;Scop. , nom. cons. prop. (vide Pigott 1997: Taxon 46: 351-353);plant;Tilia platyphyllos Scop.;Sommerlinde
Tilia;;plant;Tilia sp.;Linde
Tofieldia calyculata;(L.) Wahlenb.;plant;Tofieldia calyculata (L.) Wahlenb.;Gewöhnliche Simsenlilie
Tofieldia pusilla;(Michx.) Pers.;plant;Tofieldia pusilla (Michx.) Pers.;Kleine Simsenlilie
Tofieldia;;plant;Tofieldia sp.;Kleine Simsenlilie
Tolpis staticifolia;(All.) Sch. Bip.;plant;Tolpis staticifolia (All.) Sch. Bip.;Grasnelkenblättriges Habichtskraut
Tordylium maximum;L.;plant;Tordylium maximum L.;Große Zirmet
Torilis arvensis;(Huds.) Link;plant;Torilis arvensis (Huds.) Link;Acker-Klettenkerbel
Torilis japonica;(Houtt.) DC.;plant;Torilis japonica (Houtt.) DC.;Gewöhnlicher Klettenkerbel
Torilis nodosa;(L.) P. Gaertn.;plant;Torilis nodosa (L.) P. Gaertn.;Knotiger Klettenkerbel
Torilis;;plant;Torilis sp.;Klettenkerbel
Tozzia alpina;L.;plant;Tozzia alpina L.;Alpenrachen
Tragopogon dubius;Scop.;plant;Tragopogon dubius Scop.;Großer Bocksbart
Tragopogon porrifolius;L.;plant;Tragopogon porrifolius L.;Haferwurz
Tragopogon porrifolius subsp. australis;(Jord.) Nyman;plant;Tragopogon porrifolius subsp. australis (Jord.) Nyman;Haferwurz
Tragopogon pratensis;L. s. l.;plant;Tragopogon pratensis L. s. l.;Wiesen-Bocksbart
Tragopogon pratensis;L. s. l.;plant;Tragopogon pratensis L. s. l.;Wiesenbocksbart
Tragopogon pratensis subsp. minor;(Mill.) Wahlenb.;plant;Tragopogon pratensis subsp. minor (Mill.) Wahlenb.;Kleiner Wiesen-Bocksbart
Tragopogon pratensis subsp. orientalis;(L.) Celak.;plant;Tragopogon pratensis subsp. orientalis (L.) Celak.;Östlicher Wiesen-Bocksbart
Tragopogon pratensis subsp. pratensis;L.;plant;Tragopogon pratensis subsp. pratensis L.;Gewöhnlicher Wiesen-Bocksbart
Tragopogon;;plant;Tragopogon sp.;Bocksbart
Tragus racemosus;(L.) All.;plant;Tragus racemosus (L.) All.;Traubiges Klettengras
Tragus racemosus;(L.) All.;plant;Tragus racemosus (L.) All.;Klettengras
Trapa natans;L.;plant;Trapa natans L.;Wassernuss
Traunsteinera globosa;(L.) Rchb.;plant;Traunsteinera globosa (L.) Rchb.;Kugel-Knabenkraut
Trichomanes speciosum;Willd. [Gametophyt !];plant;Trichomanes speciosum Willd. [Gametophyt !];Ansehnlicher Hautfarn
Trichophorum alpinum;(L.) Pers.;plant;Trichophorum alpinum (L.) Pers.;Alpen-Haarsimse
Trichophorum cespitosum;(L.) Hartm.;plant;Trichophorum cespitosum (L.) Hartm.;Rasenbinse
Trichophorum cespitosum subsp. cespitosum;(L.) Hartm.;plant;Trichophorum cespitosum subsp. cespitosum (L.) Hartm.;Gewöhnliche Rasenbinse
Trichophorum cespitosum subsp. germanicum;(Palla) Hegi;plant;Trichophorum cespitosum subsp. germanicum (Palla) Hegi;Deutsche Rasenbinse
Trientalis europaea;L.;plant;Trientalis europaea L.;Europäischer Siebenstern
Trientalis europaea;L.;plant;Trientalis europaea L.;Siebenstern
Trifolium alpestre;L.;plant;Trifolium alpestre L.;Hügel-Klee
Trifolium alpestre;L.;plant;Trifolium alpestre L.;Hügelklee
Trifolium arvense;L.;plant;Trifolium arvense L.;Hasen-Klee
Trifolium arvense;L.;plant;Trifolium arvense L.;Hasenklee
Trifolium aureum;Pollich;plant;Trifolium aureum Pollich;Gold-Klee
Trifolium aureum;Pollich;plant;Trifolium aureum Pollich;Goldklee
